Indicateur;label;Population_generale;Personnes_agees;Enfants__adolescents__jeunes_adultes;Population_precaire;Personnes_handicapees;Femmes__accouchement_grossesse____Perinatalite;Diabete_et_autres_maladies_endocriniennes;Sante_mentale;Cancer;Maladie_de_l_appareil_genito_urinaire__dont_les_insuffisances_renales_chroniques_;Maladies_cardiovasculaires;Maladies_neurologiques_ou_degeneratives;Maladies_respiratoires_;Maladies_de_l_appareil_digestif;Maladies_infectieuses;Pathologies_du_systeme_osteo_articulaire;Traumatismes_et_pathologie_accidentelle;Autres_pathologies;Coordination_continuite;Qualite_et_securite_des_soins;Prevention_depistage;Accessibilite__geographique__financier__autres_;Habitudes_de_vie_et_addictions;Determinants_environnementaux;E_sante__systemes_d_information_de_sante__telesante__telemedecine_;Droits_d_usagers_democratie_sanitaire;Mesures_d_inegalites_et_de_disparites_territoriales_de_sante;Contexte_demographique_et_socio_economique;Offre_de_soins;Offre_medico_sociale;Recours_aux_soins;Protection_sociale;Depenses_de_sante;Etat_de_sante;index
Montants infra-annuels de remboursement de la Prise en charge des cotisations des signataires du CAS - tous risques confondus - Série labellisée en date de remboursement         ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;65
Taux d'évolution PCAP des versements du TOTAL VERSEMENTS AUX ETABLISSEMENTS DE SANTE ET HONORAIRES DU SECTEUR PUBLIC  - tous risques confondus - Série labellisée en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;108
Montants infra-annuels de remboursement d'honoraires des Dentistes libéraux - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;156
Montants infra-annuels de versement des  Autres prestations médico-sociales - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;196
Montants infra-annuels du total DES DÉPENSES AM - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;207
Taux d'évolution PCAP / GAM de versement aux établissements médico-sociaux pour  Adultes handicapés - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;249
Taux d'évolution PCAP / GAM de versement de  l'Assurance Invalidité - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;259
Dénombrement infra-annuels d'actes, coefficients, journées des honoraires de Médecins libéraux (omnipraticiens libéraux+spécialistes libéraux) par type d'acte  - par type de risque - Statistiques des dépenses des CPAM en date de remboursement  ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;265
Dénombrement infra-annuels d'actes, coefficients, journées du TOTAL PRESTATIONS EN ESPECES  - par type de risque - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;278
Taux moyen de remboursement  OQN - PSYCHIATRIE - SOINS DE SUITE OU READAPTATION FONCTIONNELLE (SSR) aux établissements de santé privés - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;300
Taux d'évolution PCAP des montants remboursables de soins de ville de dentistes par lieu d'exécution - Statistiques des dépenses des CPAM en date de remboursement ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;331
Taux d'évolution PCAP des montants remboursables de soins de ville de infirmiers par lieu d'exécution - Statistiques des dépenses des CPAM en date de remboursement ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;339
Taux d'évolution PCAP des montants remboursés de soins de ville de pédicures par lieu d'exécution - Statistiques des dépenses des CPAM en date de remboursement ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;353
Taux d'évolution PCAP de la dépense remboursable d'honoraires des médecins spécialistes enTOTAL MEDECINE INTERNE par lieu d'exécution et type d'acte - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;399
Taux d'évolution PCAP de la dépense remboursée d'honoraires des médecins spécialistes en Gériatrie par lieu d'exécution et type d'acte - Statistiques des dépenses des CPAM en date de remboursement;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;463
Dépense totale infra-annuelle d'honoraires  des médecins spécialistes en TOTAL MEDECINE INTERNE par lieu d'exécution et type d'acte - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;480
Taux d'évolution PCAP de la dépense totale d'honoraires des médecins spécialistes enGastro-entérologie et hépatologie par lieu d'exécution et type d'acte - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;506
Taux d'évolution PCAP de la dépense totale d'honoraires des médecins spécialistes enTOTAL STOMATOLOGIE par lieu d'exécution et type d'acte - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;513
Dépense remboursable infra-annuelle de prescriptions des auxiliaires médicaux  libéraux - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;533
Montants du Reste à charge par type de poste pour la dépense en Médecins libéraux - Statistiques des dépenses des CPAM en date de remboursement;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;556
